p,q,x,y,z,theta,phi,hex1,hex2
-15,-9,0.65213,0.312696,-0.690614,133.6787,-25.6177,9,4
-13,-15,0.135316,0.434528,-0.890435,152.928,-72.7029,3,6
-13,-14,0.229998,0.466787,-0.853938,148.6426,-63.7693,4,6
-13,-16,0.069923,0.393041,-0.916858,156.471,-79.9125,2,6
-13,-13,0.318156,0.472553,-0.82187,145.2724,-56.0488,5,6
-14,-10,0.569442,0.407598,-0.713863,135.5501,-35.5945,8,5
-13,-12,0.393316,0.484183,-0.781582,141.4056,-50.9121,6,6
-16,-7,0.766628,0.187231,-0.614188,127.8929,-13.7245,11,3
-15,-8,0.713209,0.293861,-0.636379,129.5223,-22.3929,10,4
-17,-6,0.803899,0.073708,-0.590181,126.1698,-5.2387,12,2
-14,-9,0.638832,0.387647,-0.664548,131.6477,-31.2496,9,5
-13,-11,0.470461,0.482427,-0.738872,137.6354,-45.7195,7,6
-12,-15,0.074093,0.492794,-0.866985,150.1102,-81.4494,3,7
-12,-16,0.009277,0.449217,-0.893374,153.3004,-88.8169,2,7
-12,-14,0.163688,0.535611,-0.828448,145.9397,-73.0063,4,7
-15,-7,0.754074,0.267338,-0.599919,126.8641,-19.5207,11,4
-16,-6,0.806323,0.154119,-0.571043,124.823,-10.8209,12,3
-13,-10,0.547883,0.473561,-0.689612,133.5994,-40.8384,8,6
-12,-13,0.269693,0.546758,-0.792667,142.4354,-63.7448,5,7
-14,-8,0.695837,0.371049,-0.614925,127.9465,-28.0684,10,5
-12,-17,-0.05199,0.423282,-0.904505,154.7567,-97.0024,1,7
-12,-12,0.35647,0.543365,-0.760055,139.469,-56.7335,6,7
-17,-5,0.836074,0.027002,-0.547952,123.2266,-1.8498,13,2
-13,-9,0.619553,0.462544,-0.634198,129.3605,-36.7442,9,6
-12,-11,0.428975,0.54689,-0.718952,135.968,-51.8897,7,7
-15,-6,0.803261,0.221785,-0.552795,123.559,-15.4351,12,4
-14,-7,0.746887,0.335371,-0.574183,125.0424,-24.1813,11,5
-11,-15,0.022805,0.544306,-0.838577,146.9901,-87.6009,3,8
-16,-5,0.847681,0.100287,-0.520941,121.3954,-6.7472,13,3
-11,-16,-0.049717,0.508097,-0.859864,149.3013,-95.5886,2,8
-11,-14,0.11027,0.589812,-0.799976,143.1279,-79.4103,4,8
-12,-10,0.511549,0.53673,-0.670998,132.1441,-46.376,8,7
-13,-8,0.681541,0.436147,-0.587603,125.9871,-32.6169,10,6
-11,-13,0.215766,0.610304,-0.762217,139.66,-70.5295,5,8
-11,-17,-0.103551,0.460659,-0.881516,151.8258,-102.6688,1,8
-17,-4,0.865448,-0.014656,-0.500785,120.0519,0.9702,14,2
-11,-12,0.308944,0.615309,-0.725223,136.4874,-63.339,6,8
-15,-5,0.844102,0.1853,-0.503147,120.2084,-12.3814,13,4
